Date,Open,High,Low,Close*,Adj Close**,Volume
2016-09-30,2164.33,2169.60,2114.72,2126.15,2126.15,72915530000.00
2016-08-31,2171.33,2187.87,2119.12,2168.27,2168.27,77023620000.00
2016-07-31,2173.15,2193.81,2147.58,2170.95,2170.95,75610310000.00
2016-06-30,2099.34,2177.09,2074.02,2173.60,2173.60,69530250000.00
2016-05-31,2093.94,2120.55,1991.68,2098.86,2098.86,86852700000.00
2016-04-30,2067.17,2103.48,2025.91,2096.95,2096.95,78883600000.00
2016-03-31,2056.62,2111.05,2033.80,2065.30,2065.30,81124990000.00
2016-03-01,1937.09,2072.21,1937.09,2059.74,2059.74,92639420000.00
2016-02-01,1936.94,1962.96,1810.10,1932.23,1932.23,93049560000.00
2016-01-01,2038.20,2038.20,1812.29,1940.24,1940.24,92409770000.00
2015-12-01,2082.93,2104.27,1993.26,2043.94,2043.94,83649260000.00
2015-10-31,2080.76,2116.48,2019.39,2080.41,2080.41,75943590000.00
2015-09-30,1919.65,2094.32,1893.70,2079.36,2079.36,85844900000.00
2015-08-31,1970.09,2020.86,1871.91,1920.03,1920.03,79989370000.00
2015-07-31,2104.49,2112.66,1867.01,1972.18,1972.18,84626790000.00
2015-06-30,2067.00,2132.82,2044.02,2103.84,2103.84,77920590000.00
2015-05-31,2108.64,2129.87,2056.32,2063.11,2063.11,73213980000.00
2015-04-30,2087.38,2134.72,2067.93,2107.39,2107.39,65187730000.00
2015-03-31,2067.63,2125.92,2048.38,2085.51,2085.51,72060940000.00
2015-03-01,2105.23,2117.52,2039.69,2067.89,2067.89,76675850000.00
2015-02-01,1996.67,2119.59,1980.90,2104.50,2104.50,68775560000.00
2015-01-01,2058.90,2072.36,1988.12,1994.99,1994.99,77330040000.00
2014-12-01,2065.78,2093.55,1972.56,2058.90,2058.90,80743820000.00
2014-10-31,2018.21,2075.76,2001.01,2067.56,2067.56,63600190000.00
2014-09-30,1971.44,2018.19,1820.66,2018.05,2018.05,93714040000.00
2014-08-31,2004.07,2019.26,1964.04,1972.29,1972.29,66706000000.00
2014-07-31,1929.80,2005.04,1904.78,2003.37,2003.37,58131140000.00
2014-06-30,1962.29,1991.39,1930.67,1930.67,1930.67,66524690000.00
2014-05-31,1923.87,1968.17,1915.98,1960.23,1960.23,63283380000.00
2014-04-30,1884.39,1924.03,1859.79,1923.57,1923.57,63623630000.00
2014-03-31,1873.96,1897.28,1814.36,1883.95,1883.95,71595810000.00
2014-03-01,1857.68,1883.97,1834.44,1872.34,1872.34,71885030000.00
2014-02-01,1782.68,1867.92,1737.92,1859.45,1859.45,69725590000.00
2014-01-01,1845.86,1850.84,1770.45,1782.59,1782.59,75871910000.00
2013-12-01,1806.55,1849.44,1767.99,1848.36,1848.36,64958820000.00
2013-10-31,1758.70,1813.55,1746.20,1805.81,1805.81,63628190000.00
2013-09-30,1682.41,1775.22,1646.47,1756.54,1756.54,76647400000.00
2013-08-31,1635.95,1729.86,1633.41,1681.55,1681.55,66174410000.00
2013-07-31,1689.42,1709.67,1627.47,1632.97,1632.97,64802810000.00
2013-06-30,1609.78,1698.78,1604.57,1685.73,1685.73,68106820000.00
2013-05-31,1631.71,1654.19,1560.33,1606.28,1606.28,74946790000.00
2013-04-30,1597.55,1687.18,1581.28,1630.74,1630.74,76447250000.00
2013-03-31,1569.18,1597.57,1536.03,1597.57,1597.57,77098000000.00
2013-03-01,1514.68,1570.28,1501.48,1569.19,1569.19,68527110000.00
2013-02-01,1498.11,1530.94,1485.01,1514.68,1514.68,69273480000.00
2013-01-01,1426.19,1509.94,1426.19,1498.11,1498.11,75848510000.00
2012-12-01,1416.34,1448.00,1398.11,1426.19,1426.19,66388180000.00
2012-10-31,1412.20,1434.27,1343.35,1416.18,1416.18,71489310000.00
2012-09-30,1440.90,1470.96,1403.28,1412.16,1412.16,71752320000.00
2012-08-31,1406.54,1474.51,1396.56,1440.67,1440.67,69784280000.00
2012-07-31,1379.32,1426.68,1354.65,1406.58,1406.58,70283810000.00
2012-06-30,1362.33,1391.74,1325.41,1379.32,1379.32,73103810000.00
2012-05-31,1309.87,1363.46,1266.74,1362.16,1362.16,81582440000.00
2012-04-30,1397.86,1415.32,1291.98,1310.33,1310.33,86920490000.00
2012-03-31,1408.47,1422.38,1357.38,1397.91,1397.91,74761710000.00
2012-03-01,1365.90,1419.15,1340.03,1408.47,1408.47,83899660000.00
2012-02-01,1312.45,1378.04,1312.45,1365.68,1365.68,78385710000.00
2012-01-01,1258.86,1333.47,1258.86,1312.41,1312.41,79567560000.00
2011-12-01,1246.91,1269.37,1202.37,1257.60,1257.60,74742430000.00
2011-10-31,1251.00,1277.55,1158.66,1246.96,1246.96,84275050000.00
2011-09-30,1131.21,1292.66,1074.77,1253.30,1253.30,98063670000.00
2011-08-31,1219.12,1229.29,1114.22,1131.42,1131.42,102786820000.00
2011-07-31,1292.59,1307.38,1101.54,1218.89,1218.89,108419170000.00
2011-06-30,1320.64,1356.48,1282.86,1292.28,1292.28,81102170000.00
2011-05-31,1345.20,1345.20,1258.07,1320.64,1320.64,86122730000.00
2011-04-30,1365.21,1370.58,1311.80,1345.20,1345.20,81708980000.00
2011-03-31,1329.48,1364.56,1294.70,1363.61,1363.61,77364810000.00
2011-03-01,1328.64,1332.28,1249.05,1325.83,1325.83,89507640000.00
2011-02-01,1289.14,1344.07,1289.14,1327.22,1327.22,59223660000.00
2011-01-01,1257.62,1302.67,1257.62,1286.12,1286.12,92164940000.00
2010-12-01,1186.60,1262.60,1186.60,1257.64,1257.64,80984530000.00
2010-10-31,1185.71,1227.08,1173.00,1180.55,1180.55,87151070000.00
2010-09-30,1143.49,1196.14,1131.87,1183.26,1183.26,89536270000.00
2010-08-31,1049.72,1157.16,1049.72,1141.20,1141.20,79589450000.00
2010-07-31,1107.53,1129.24,1039.70,1049.33,1049.33,85738250000.00
2010-06-30,1031.10,1120.95,1010.91,1101.60,1101.60,94778110000.00
2010-05-31,1087.30,1131.23,1028.33,1030.71,1030.71,110106750000.00
2010-04-30,1188.58,1205.13,1040.78,1089.41,1089.41,127662780000.00
2010-03-31,1171.23,1219.80,1170.69,1186.69,1186.69,116741910000.00
2010-03-01,1105.36,1180.69,1105.36,1169.43,1169.43,103683550000.00
2010-02-01,1073.89,1112.42,1044.50,1104.49,1104.49,84561340000.00
2010-01-01,1116.56,1150.45,1071.59,1073.87,1073.87,90947580000.00
2009-12-01,1098.89,1130.38,1085.89,1115.10,1115.10,89515330000.00
2009-10-31,1036.18,1113.69,1029.38,1095.63,1095.63,84981530000.00
2009-09-30,1054.91,1101.36,1019.95,1036.19,1036.19,113410990000.00
2009-08-31,1019.52,1080.15,991.97,1057.08,1057.08,112295490000.00
2009-07-31,990.22,1039.47,978.51,1020.62,1020.62,116059270000.00
2009-06-30,920.82,996.68,869.32,987.48,987.48,106635790000.00
2009-05-31,923.26,956.23,888.86,919.32,919.32,112653150000.00
2009-04-30,872.74,930.17,866.10,919.14,919.14,131614940000.00
2009-03-31,793.59,888.70,783.32,872.81,872.81,138855320000.00
2009-03-01,729.57,832.98,666.79,797.87,797.87,161843640000.00
2009-02-01,823.09,875.01,734.52,735.09,735.09,124492210000.00
2009-01-01,902.99,943.85,804.30,825.88,825.88,112090640000.00
2008-12-01,888.61,918.85,815.69,903.25,903.25,112884470000.00
2008-10-31,968.67,1007.51,741.02,896.24,896.24,115660210000.00
2008-09-30,1164.17,1167.03,839.80,968.75,968.75,159823030000.00
2008-08-31,1287.83,1303.04,1106.42,1166.36,1166.36,140007320000.00
2008-07-31,1269.42,1313.15,1247.45,1282.83,1282.83,86266010000.00
2008-06-30,1276.69,1292.17,1200.44,1267.38,1267.38,124980570000.00
2008-05-31,1399.62,1404.05,1272.00,1280.00,1280.00,96614040000.00
2008-04-30,1385.97,1440.24,1373.07,1400.38,1400.38,80990480000.00
2008-03-31,1326.41,1404.57,1324.35,1385.59,1385.59,85978630000.00
2008-03-01,1330.45,1359.68,1256.98,1322.70,1322.70,93189170000.00
2008-02-01,1378.60,1396.02,1316.75,1330.63,1330.63,78536130000.00
2008-01-01,1467.97,1471.77,1270.05,1378.55,1378.55,98475340000.00
2007-12-01,1479.63,1523.57,1435.65,1468.36,1468.36,64821670000.00
2007-10-31,1545.79,1545.79,1406.10,1481.14,1481.14,86246950000.00
2007-09-30,1527.29,1576.09,1489.56,1549.38,1549.38,76022580000.00
2007-08-31,1473.96,1538.74,1439.29,1526.75,1526.75,57809700000.00
2007-07-31,1455.18,1503.89,1370.60,1473.99,1473.99,91381760000.00
2007-06-30,1504.66,1555.90,1454.25,1455.27,1455.27,70337430000.00
2007-05-31,1530.62,1540.56,1484.18,1503.35,1503.35,65322800000.00
2007-04-30,1482.37,1535.56,1476.70,1530.62,1530.62,64958050000.00
2007-03-31,1420.83,1498.02,1416.37,1482.37,1482.37,57032470000.00
2007-03-01,1406.80,1438.89,1363.98,1420.86,1420.86,67622250000.00
2007-02-01,1437.90,1461.57,1389.42,1406.82,1406.82,51844990000.00
2007-01-01,1418.03,1441.61,1403.97,1438.24,1438.24,56686200000.00
2006-12-01,1400.63,1431.81,1385.93,1418.30,1418.30,47578780000.00
2006-11-01,1377.76,1407.89,1360.98,1400.63,1400.63,55343930000.00
2006-09-30,1335.82,1389.45,1327.10,1377.94,1377.94,56793620000.00
2006-08-31,1303.80,1340.28,1290.93,1335.85,1335.85,49001440000.00
2006-07-31,1278.53,1306.74,1261.30,1303.82,1303.82,50485620000.00
2006-06-30,1270.06,1280.42,1224.54,1276.66,1276.66,46348220000.00
2006-05-31,1270.05,1290.68,1219.29,1270.20,1270.20,54873260000.00
2006-04-30,1310.61,1326.70,1245.34,1270.09,1270.09,54312830000.00
2006-04-01,1302.88,1318.16,1280.74,1310.61,1310.61,43308430000.00
2006-03-01,1280.66,1310.88,1268.42,1294.87,1294.87,50905040000.00
2006-02-01,1280.08,1297.57,1253.61,1280.66,1280.66,42859940000.00
2006-01-01,1248.29,1294.90,1245.74,1280.08,1280.08,49211650000.00
2005-12-01,1249.48,1275.80,1246.59,1248.29,1248.29,41756130000.00
2005-11-01,1207.01,1270.64,1201.07,1249.48,1249.48,45102870000.00
2005-09-30,1228.81,1233.34,1168.20,1207.01,1207.01,49793790000.00
2005-08-31,1220.33,1243.13,1205.35,1228.81,1228.81,44777510000.00
2005-07-31,1234.18,1245.86,1201.07,1220.33,1220.33,42030090000.00
2005-06-30,1191.33,1245.15,1183.55,1234.18,1234.18,37464670000.00
2005-05-31,1191.50,1219.59,1188.30,1191.33,1191.33,40334040000.00
2005-04-30,1156.85,1199.56,1146.18,1191.50,1191.50,39321990000.00
2005-04-01,1180.59,1191.88,1136.15,1156.85,1156.85,43424270000.00
2005-03-01,1203.60,1229.11,1163.69,1180.59,1180.59,39014150000.00
2005-02-01,1181.27,1212.44,1180.95,1203.60,1203.60,29297410000.00
2005-01-01,1211.92,1217.80,1163.75,1181.27,1181.27,31498800000.00
2004-12-01,1173.78,1217.33,1173.78,1211.92,1211.92,31102500000.00
2004-11-01,1130.20,1188.46,1127.60,1173.82,1173.82,30460280000.00
2004-09-30,1114.58,1142.05,1090.29,1130.20,1130.20,31511000000.00
2004-08-31,1104.24,1131.54,1099.18,1114.58,1114.58,26829870000.00
2004-07-31,1101.72,1109.68,1060.72,1104.24,1104.24,26586800000.00
2004-06-30,1140.84,1140.84,1078.78,1101.72,1101.72,29285600000.00
2004-05-31,1120.68,1146.34,1113.32,1140.84,1140.84,27529500000.00
2004-04-30,1107.30,1127.74,1076.32,1120.68,1120.68,29326400000.00
2004-04-01,1126.21,1150.57,1107.23,1107.30,1107.30,31611900000.00
2004-03-01,1144.94,1163.23,1087.16,1126.21,1126.21,33597900000.00
2004-02-01,1131.13,1158.98,1124.44,1144.94,1144.94,27985600000.00
2004-01-01,1111.92,1155.38,1105.08,1131.13,1131.13,32820000000.00
2003-12-01,1058.20,1112.56,1053.41,1111.92,1111.92,27839130000.00
2003-11-01,1050.71,1063.65,1031.20,1058.20,1058.20,24463220000.00
2003-09-30,995.97,1053.79,995.97,1050.71,1050.71,32298500000.00
2003-08-31,1008.01,1040.29,990.36,995.97,995.97,29940110000.00
2003-07-31,990.31,1011.01,960.84,1008.01,1008.01,24881470000.00
2003-06-30,974.50,1015.41,962.10,990.31,990.31,31553200000.00
2003-05-31,963.59,1015.33,963.59,974.50,974.50,31219400000.00
2003-04-30,916.92,965.38,902.83,963.59,963.59,30952100000.00
2003-04-01,848.18,924.24,847.85,916.92,916.92,29669610000.00
2003-03-01,841.15,895.90,788.90,848.18,848.18,30080030000.00
2003-02-01,855.70,864.64,806.29,841.15,841.15,25235300000.00
2003-01-01,879.82,935.05,840.34,855.70,855.70,30749580000.00
2002-12-01,936.31,954.28,869.45,879.82,879.82,25993640000.00
2002-11-01,885.76,941.82,872.05,936.31,936.31,29200960000.00
2002-09-30,815.28,907.44,768.63,885.76,885.76,37856310000.00
2002-08-31,916.07,924.02,800.20,815.28,815.28,27723710000.00
2002-07-31,911.62,965.00,833.44,916.07,916.07,29298400000.00
2002-06-30,989.82,994.46,775.68,911.62,911.62,42228720000.00
2002-05-31,1067.14,1070.74,952.92,989.82,989.82,29981510000.00
2002-04-30,1076.92,1106.59,1048.96,1067.14,1067.14,26905500000.00
2002-04-01,1147.39,1147.84,1063.46,1076.92,1076.92,28568900000.00
2002-03-01,1106.73,1173.94,1106.73,1147.39,1147.39,26563200000.00
2002-02-01,1130.20,1130.20,1074.36,1106.73,1106.73,26047600000.00
2002-01-01,1148.08,1176.97,1081.66,1130.20,1130.20,29746200000.00
2001-12-01,1139.45,1173.62,1114.53,1148.08,1148.08,25128570000.00
2001-11-01,1059.78,1163.38,1054.31,1139.45,1139.45,26330000000.00
2001-09-30,1040.94,1110.61,1026.76,1059.78,1059.78,29951280000.00
2001-08-31,1133.58,1155.40,944.75,1040.94,1040.94,25025290000.00
2001-07-31,1211.23,1226.27,1124.87,1133.58,1133.58,23359200000.00
2001-06-30,1224.42,1239.78,1165.54,1211.23,1211.23,23793710000.00
2001-05-31,1255.82,1286.62,1203.03,1224.38,1224.38,24748030000.00
2001-04-30,1249.46,1315.93,1232.00,1255.82,1255.82,24525900000.00
2001-04-01,1160.33,1269.30,1091.99,1249.46,1249.46,25409990000.00
2001-03-01,1239.94,1267.42,1081.19,1160.33,1160.33,27806610000.00
2001-02-01,1366.01,1376.38,1215.44,1239.94,1239.94,21644400000.00
2001-01-01,1320.28,1383.37,1274.62,1366.01,1366.01,27829800000.00
2000-12-01,1314.95,1389.05,1254.07,1320.28,1320.28,23610800000.00
2000-11-01,1429.40,1438.46,1294.90,1314.95,1314.95,20532300000.00
2000-09-30,1436.52,1454.82,1305.79,1429.40,1429.40,25951400000.00
2000-08-31,1517.68,1530.09,1419.44,1436.51,1436.51,20838300000.00
2000-07-31,1430.83,1525.21,1425.43,1517.68,1517.68,20363700000.00
2000-06-30,1454.60,1517.32,1413.89,1430.83,1430.83,19089100000.00
2000-05-31,1420.60,1488.93,1420.60,1454.60,1454.60,21738300000.00
2000-04-30,1452.43,1481.51,1361.09,1420.60,1420.60,19898300000.00
2000-04-01,1498.58,1527.19,1339.40,1452.43,1452.43,20106460000.00
2000-03-01,1366.42,1552.87,1346.62,1498.58,1498.58,26156200000.00
2000-02-01,1394.46,1444.55,1325.07,1366.42,1366.42,20912000000.00
2000-01-01,1469.25,1478.00,1350.14,1394.46,1394.46,21494400000.00
1999-12-01,1388.91,1473.10,1387.38,1469.25,1469.25,19640690000.00
1999-11-01,1362.93,1425.31,1346.41,1388.91,1388.91,18384820000.00
1999-09-30,1282.71,1373.17,1233.70,1362.93,1362.93,18832000000.00
1999-08-31,1320.41,1361.39,1256.26,1282.71,1282.71,16438700000.00
1999-07-31,1328.72,1382.84,1267.73,1320.41,1320.41,15818550000.00
1999-06-30,1372.71,1420.33,1328.49,1328.72,1328.72,15332930000.00
1999-05-31,1301.84,1372.93,1277.47,1372.71,1372.71,16079170000.00
1999-04-30,1335.18,1375.98,1277.31,1301.84,1301.84,15880260000.00
