Index,Date,Open,High,Low,Close,Adj Close,Volume
70,9/30/06,2257,2379.29,2224.21,2366.71,2366.71,42714580000
71,11/1/06,2373.49,2468.42,2316.82,2431.77,2431.77,38943340000
72,12/1/06,2430.75,2470.95,2392.95,2415.29,2415.29,35073670000
73,1/1/07,2429.72,2508.93,2394.66,2463.93,2463.93,42688490000
74,2/1/07,2474.08,2531.42,2395.35,2416.15,2416.15,39700560000
75,3/1/07,2377.18,2459.96,2331.57,2421.64,2421.64,43563900000
76,3/31/07,2425.36,2562.99,2409.04,2525.09,2525.09,39717000000
77,4/30/07,2529.95,2607.9,2510.57,2604.52,2604.52,44252460000
78,5/31/07,2614.01,2634.6,2534.97,2603.23,2603.23,45340310000
79,6/30/07,2617.39,2724.74,2545.9,2546.27,2546.27,45107360000
80,7/31/07,2538.5,2627.75,2386.69,2596.36,2596.36,52126030000
81,8/31/07,2596.38,2716.75,2536.93,2701.5,2701.5,35257250000
82,9/30/07,2704.25,2861.51,2698.14,2859.12,2859.12,48751620000
83,10/31/07,2835,2835.63,2539.81,2660.96,2660.96,50214790000
84,12/1/07,2654.91,2734.82,2553.99,2652.28,2652.28,37753390000
85,1/1/08,2653.91,2661.5,2202.54,2389.86,2389.86,55211960000
86,2/1/08,2392.58,2419.23,2252.65,2271.48,2271.48,45767570000
87,3/1/08,2271.26,2346.78,2155.42,2279.1,2279.1,44966440000
88,3/31/08,2306.51,2451.19,2266.29,2412.8,2412.8,42726250000
89,4/30/08,2416.49,2551.47,2416.49,2522.66,2522.66,42783110000
90,5/31/08,2514.82,2549.94,2290.59,2292.98,2292.98,45968100000
91,6/30/08,2274.24,2353.39,2167.29,2325.55,2325.55,50672460000
92,7/31/08,2326.83,2473.2,2280.93,2367.52,2367.52,39482890000
93,8/31/08,2402.11,2413.11,1983.73,2091.88,2091.88,51722940000
94,9/30/08,2075.1,2083.2,1493.79,1720.95,1720.95,62537120000
95,10/31/08,1718.89,1785.84,1295.48,1535.57,1535.57,41933210000
96,12/1/08,1496.09,1602.92,1398.07,1577.03,1577.03,39619890000
97,1/1/09,1578.87,1665.63,1434.08,1476.42,1476.42,39995600000
98,2/1/09,1460.85,1598.5,1372.42,1377.84,1377.84,42380620000
99,3/1/09,1356.13,1587,1265.52,1528.59,1528.59,49480930000
100,3/31/09,1504.87,1753.61,1498.54,1717.3,1717.3,48683640000
101,4/30/09,1719.29,1774.33,1664.19,1774.33,1774.33,47352030000
102,5/31/09,1796.09,1879.92,1753.78,1835.04,1835.04,51881250000
103,6/30/09,1846.12,2009.81,1727.05,1978.5,1978.5,47084360000
104,7/31/09,1998.35,2059.48,1929.64,2009.06,2009.06,44011670000
105,8/31/09,2001.3,2167.7,1958.04,2122.42,2122.42,49652910000
106,9/30/09,2111.77,2190.64,2040.21,2045.11,2045.11,50489640000
107,10/31/09,2047.42,2205.32,2024.27,2144.6,2144.6,38877300000
108,12/1/09,2162.23,2295.8,2155.96,2269.15,2269.15,39269070000
109,1/1/10,2294.41,2326.28,2140.34,2147.35,2147.35,45625830000
110,2/1/10,2155.81,2251.68,2100.17,2238.26,2238.26,42835360000
111,3/1/10,2247.4,2432.25,2247.33,2397.96,2397.96,54955550000
112,3/31/10,2411.68,2535.28,2383.77,2461.19,2461.19,54528540000
113,4/30/10,2472.32,2503,2140.53,2257.04,2257.04,57203120000
114,5/31/10,2244.79,2341.11,2105.26,2109.24,2109.24,48633730000
115,6/30/10,2110.75,2307.6,2061.14,2254.7,2254.7,43910370000
116,7/31/10,2283.32,2309.43,2099.29,2114.03,2114.03,41794240000
117,8/31/10,2142.75,2400.06,2141.95,2368.62,2368.62,41586870000
118,9/30/10,2386.82,2517.5,2332.46,2507.41,2507.41,41539760000
119,10/31/10,2520.45,2592.94,2459.79,2498.23,2498.23,40893560000
120,12/1/10,2535.19,2675.26,2535.19,2652.87,2652.87,36306890000
121,1/1/11,2676.65,2766.17,2663.64,2700.08,2700.08,40221760000
122,2/1/11,2717.61,2840.51,2705.54,2782.27,2782.27,39225340000
123,3/1/11,2791.08,2802.32,2603.5,2781.07,2781.07,45049990000
124,3/31/11,2796.67,2876.83,2706.5,2873.54,2873.54,38024600000
125,4/30/11,2881.28,2887.75,2739.85,2835.3,2835.3,42067110000
126,5/31/11,2829.39,2834.05,2599.86,2773.52,2773.52,42570710000
127,6/30/11,2775.08,2878.94,2724.99,2756.38,2756.38,37282980000
128,7/31/11,2791.45,2796.24,2331.65,2579.46,2579.46,56977870000
129,8/31/11,2583.34,2643.37,2414.31,2415.4,2415.4,42996470000
130,9/30/11,2401.19,2753.37,2298.89,2684.41,2684.41,42787830000
131,10/31/11,2607.31,2730.39,2441.48,2620.34,2620.34,38397210000
132,12/1/11,2615.67,2674.53,2518.01,2605.15,2605.15,33177490000
133,1/1/12,2657.39,2834.3,2627.23,2813.84,2813.84,35325900000
134,2/1/12,2830.1,3000.11,2825.19,2966.89,2966.89,37728460000
135,3/1/12,2979.11,3134.17,2900.28,3091.57,3091.57,36686310000
136,3/31/12,3085.94,3128.25,2946.04,3046.36,3046.36,33793990000
137,4/30/12,3044.79,3085.4,2774.45,2827.34,2827.34,40115930000
138,5/31/12,2810.13,2942.28,2726.68,2935.05,2935.05,37458650000
139,6/30/12,2938.41,2987.94,2837.72,2939.52,2939.52,34686680000
140,7/31/12,2956.72,3100.54,2890.85,3066.96,3066.96,35708950000
141,8/31/12,3063.25,3196.93,3040.24,3116.23,3116.23,33719730000
142,9/30/12,3130.31,3171.46,2961.16,2977.23,2977.23,36367020000
143,10/31/12,2987.54,3033.85,2810.8,3010.24,3010.24,36894240000
144,12/1/12,3029.21,3061.82,2951.04,3019.51,3019.51,33522490000
145,1/1/13,3091.33,3164.06,3076.6,3142.13,3142.13,39027620000
146,2/1/13,3162.94,3213.6,3105.36,3160.19,3160.19,35765430000
