Date,Open,High,Low,Close,Adj Close,Volume
1995-08-01,6.433,6.665,6.261,6.273,6.273,0
1995-09-01,6.29,6.388,6.054,6.157,6.157,0
1995-10-01,6.161,6.174,5.909,6.003,6.003,0
1995-11-01,6.016,6.032,5.733,5.745,5.745,0
1995-12-01,5.733,5.908,5.339,5.575,5.575,0
1996-01-01,5.583,5.806,5.487,5.581,5.581,0
1996-02-01,5.593,6.194,5.551,6.112,6.112,0
1996-03-01,6.034,6.519,5.902,6.334,6.334,0
1996-04-01,6.312,6.731,6.237,6.633,6.633,0
1996-05-01,6.689,6.9,6.585,6.844,6.844,0
1996-06-01,6.874,7.056,6.685,6.711,6.711,0
1996-07-01,6.724,7.096,6.705,6.79,6.79,0
1996-08-01,6.772,6.981,6.429,6.936,6.936,0
1996-09-01,6.989,7.065,6.595,6.699,6.699,0
1996-10-01,6.703,6.703,6.324,6.349,6.349,0
1996-11-01,6.307,6.383,6.04,6.04,6.04,0
1996-12-01,6.056,6.459,5.998,6.407,6.407,0
1997-01-01,6.407,6.765,6.377,6.503,6.503,0
1997-02-01,6.489,6.583,6.106,6.535,6.535,0
1997-03-01,6.579,6.912,6.526,6.907,6.907,0
1997-04-01,6.898,6.986,6.675,6.702,6.702,0
1997-05-01,6.698,6.812,6.616,6.663,6.663,0
1997-06-01,6.642,6.685,6.344,6.502,6.502,0
1997-07-01,6.498,6.511,5.992,6.004,6.004,0
1997-08-01,5.992,6.425,5.992,6.33,6.33,0
1997-09-01,6.356,6.391,6.022,6.107,6.107,0
1997-10-01,6.081,6.209,5.74,5.819,5.819,0
1997-11-01,5.877,5.957,5.784,5.851,5.851,0
1997-12-01,5.851,5.977,5.661,5.739,5.739,0
1998-01-01,5.731,5.735,5.281,5.512,5.512,0
1998-02-01,5.528,5.703,5.406,5.616,5.616,0
1998-03-01,5.628,5.83,5.499,5.662,5.662,0
1998-04-01,5.641,5.825,5.404,5.667,5.667,0
1998-05-01,5.642,5.769,5.526,5.546,5.546,0
1998-06-01,5.526,5.624,5.366,5.434,5.434,0
1998-07-01,5.45,5.549,5.369,5.494,5.494,0
1998-08-01,5.474,5.474,5.017,5.032,5.032,0
1998-09-01,5.02,5.108,4.402,4.41,4.41,0
1998-10-01,4.326,4.839,4.101,4.603,4.603,0
1998-11-01,4.626,4.966,4.607,4.726,4.726,0
1998-12-01,4.678,4.878,4.498,4.638,4.638,0
1999-01-01,4.638,4.944,4.61,4.653,4.653,0
1999-02-01,4.673,5.345,4.673,5.272,5.272,0
1999-03-01,5.285,5.427,5.063,5.234,5.234,0
1999-04-01,5.208,5.367,4.998,5.35,5.35,0
1999-05-01,5.363,5.691,5.337,5.611,5.611,0
1999-06-01,5.649,6.06,5.624,5.81,5.81,0
1999-07-01,5.823,5.939,5.629,5.907,5.907,0
1999-08-01,5.898,6.162,5.717,5.979,5.979,0
1999-09-01,5.966,6.029,5.739,5.885,5.885,0
1999-10-01,5.923,6.253,5.923,6.003,6.003,0
1999-11-01,6.036,6.211,5.867,6.163,6.163,0
1999-12-01,6.224,6.44,6.063,6.435,6.435,0
2000-01-01,6.498,6.823,6.411,6.667,6.667,0
2000-02-01,6.63,6.683,6.324,6.409,6.409,0
2000-03-01,6.388,6.443,5.937,6.023,6.023,0
2000-04-01,6.002,6.291,5.706,6.214,6.214,0
2000-05-01,6.227,6.564,6.214,6.285,6.285,0
2000-06-01,6.272,6.272,5.948,6.018,6.018,0
2000-07-01,6.035,6.18,5.925,6.029,6.029,0
2000-08-01,6.02,6.02,5.683,5.729,5.729,0
2000-09-01,5.716,5.99,5.571,5.778,5.778,0
2000-10-01,5.791,5.897,5.553,5.757,5.757,0
2000-11-01,5.74,5.885,5.427,5.439,5.439,0
2000-12-01,5.493,5.534,4.994,5.11,5.11,0
2001-01-01,5.075,5.494,4.874,5.179,5.179,0
2001-02-01,5.082,5.227,4.872,4.908,4.908,0
2001-03-01,4.86,5.121,4.689,4.915,4.915,0
2001-04-01,4.886,5.393,4.838,5.338,5.338,0
2001-05-01,5.326,5.527,5.081,5.413,5.413,0
2001-06-01,5.366,5.439,4.999,5.39,5.39,0
2001-07-01,5.408,5.425,5.033,5.037,5.037,0
2001-08-01,5.054,5.193,4.71,4.816,4.816,0
2001-09-01,4.848,4.988,4.509,4.575,4.575,0
2001-10-01,4.567,4.699,4.255,4.263,4.263,0
2001-11-01,4.217,5.077,4.096,4.744,4.744,0
2001-12-01,4.735,5.385,4.624,5.032,5.032,0
2002-01-01,5.066,5.217,4.786,5.025,5.025,0
2002-02-01,5.041,5.05,4.799,4.859,4.859,0
2002-03-01,4.891,5.452,4.891,5.406,5.406,0
2002-04-01,5.39,5.457,5.033,5.091,5.091,0
2002-05-01,5.083,5.327,5.011,5.043,5.043,0
2002-06-01,5.078,5.112,4.617,4.824,4.824,0
2002-07-01,4.805,4.869,4.224,4.465,4.465,0
2002-08-01,4.445,4.47,3.961,4.137,4.137,0
2002-09-01,4.054,4.106,3.567,3.607,3.607,0
2002-10-01,3.684,4.273,3.559,3.911,3.911,0
2002-11-01,3.909,4.272,3.775,4.213,4.213,0
2002-12-01,4.35,4.351,3.759,3.818,3.818,0
2003-01-01,3.875,4.203,3.86,3.975,3.975,0
2003-02-01,4.003,4.038,3.692,3.696,3.696,0
2003-03-01,3.711,4.117,3.549,3.823,3.823,0
2003-04-01,3.804,4.08,3.78,3.857,3.857,0
2003-05-01,3.832,3.955,3.29,3.35,3.35,0
2003-06-01,3.408,3.597,3.074,3.528,3.528,0
2003-07-01,3.507,4.566,3.459,4.474,4.474,0
2003-08-01,4.585,4.668,4.19,4.454,4.454,0
2003-09-01,4.561,4.616,3.935,3.937,3.937,0
2003-10-01,3.949,4.475,3.912,4.301,4.301,0
2003-11-01,4.326,4.491,4.113,4.32,4.32,0
2003-12-01,4.343,4.45,4.099,4.257,4.257,0
2004-01-01,4.272,4.418,3.918,4.138,4.138,0
2004-02-01,4.166,4.203,3.982,3.984,3.984,0
2004-03-01,3.986,4.106,3.65,3.837,3.837,0
2004-04-01,3.837,4.634,3.831,4.501,4.501,0
2004-05-01,4.532,4.904,4.444,4.655,4.655,0
2004-06-01,4.679,4.874,4.589,4.617,4.617,0
2004-07-01,4.602,4.641,4.351,4.475,4.475,0
2004-08-01,4.432,4.473,4.096,4.132,4.132,0
2004-09-01,4.094,4.298,3.963,4.119,4.119,0
2004-10-01,4.162,4.258,3.943,4.029,4.029,0
2004-11-01,4.05,4.382,4.036,4.358,4.358,0
2004-12-01,4.338,4.42,4.069,4.216,4.216,0
2005-01-01,4.257,4.313,4.119,4.133,4.133,0
2005-02-01,4.129,4.384,3.977,4.359,4.359,2959200
2005-03-01,4.363,4.693,4.289,4.496,4.496,2007800
2005-04-01,4.488,4.541,4.144,4.201,4.201,631500
2005-05-01,4.192,4.292,3.992,4.006,4.006,474000
2005-06-01,3.97,4.152,3.803,3.945,3.945,0
2005-07-01,3.944,4.298,3.942,4.286,4.286,473800
2005-08-01,4.3,4.435,4.005,4.02,4.02,0
2005-09-01,4.043,4.341,3.983,4.328,4.328,0
2005-10-01,4.32,4.605,4.317,4.559,4.559,0
2005-11-01,4.545,4.682,4.388,4.5,4.5,0
2005-12-01,4.476,4.581,4.334,4.395,4.395,0
2006-01-01,4.424,4.557,4.289,4.527,4.527,0
2006-02-01,4.529,4.63,4.5,4.547,4.547,0
2006-03-01,4.561,4.884,4.551,4.853,4.853,0
2006-04-01,4.884,5.143,4.835,5.069,5.069,0
2006-05-01,5.059,5.192,4.98,5.113,5.113,0
2006-06-01,5.137,5.245,4.949,5.138,5.138,0
2006-07-01,5.155,5.241,4.979,4.988,4.988,0
2006-08-01,5.002,5.018,4.728,4.732,4.732,0
2006-09-01,4.724,4.848,4.53,4.633,4.633,0
2006-10-01,4.653,4.848,4.559,4.606,4.606,0
2006-11-01,4.61,4.737,4.456,4.458,4.458,0
2006-12-01,4.479,4.72,4.404,4.71,4.71,0
2007-01-01,4.658,4.906,4.583,4.826,4.826,0
2007-02-01,4.814,4.87,4.509,4.55,4.55,0
2007-03-01,4.523,4.672,4.473,4.648,4.648,0
2007-04-01,4.638,4.775,4.612,4.63,4.63,0
2007-05-01,4.618,4.921,4.602,4.89,4.89,0
2007-06-01,4.898,5.316,4.874,5.033,5.033,0
2007-07-01,5.031,5.201,4.741,4.771,4.771,0
2007-08-01,4.733,4.89,4.496,4.537,4.537,0
2007-09-01,4.514,4.702,4.301,4.579,4.579,0
2007-10-01,4.579,4.719,4.312,4.475,4.475,0
2007-11-01,4.455,4.457,3.845,3.972,3.972,0
2007-12-01,3.944,4.281,3.84,4.035,4.035,0
2008-01-01,4.033,4.052,3.281,3.639,3.639,0
2008-02-01,3.652,3.96,3.526,3.534,3.534,0
2008-03-01,3.562,3.704,3.288,3.432,3.432,0
2008-04-01,3.486,3.888,3.43,3.759,3.759,0
2008-05-01,3.751,4.139,3.682,4.046,4.046,0
2008-06-01,4.025,4.324,3.856,3.979,3.979,0
2008-07-01,3.942,4.174,3.769,3.979,3.979,0
2008-08-01,3.942,4.09,3.763,3.813,3.813,0
2008-09-01,3.847,3.905,3.25,3.827,3.827,0
2008-10-01,3.748,4.109,3.4,3.97,3.97,0
2008-11-01,3.937,3.964,2.93,2.957,2.957,0
2008-12-01,2.883,2.887,2.038,2.244,2.244,0
2009-01-01,2.203,2.856,2.159,2.844,2.844,0
2009-02-01,2.833,3.054,2.628,3.041,3.041,0
2009-03-01,2.963,3.041,2.464,2.685,2.685,0
2009-04-01,2.659,3.166,2.634,3.124,3.124,0
2009-05-01,3.167,3.758,3.077,3.465,3.465,0
2009-06-01,3.505,4.014,3.456,3.523,3.523,0
2009-07-01,3.589,3.766,3.265,3.501,3.501,0
2009-08-01,3.565,3.886,3.394,3.401,3.401,0
2009-09-01,3.399,3.535,3.272,3.307,3.307,0
2009-10-01,3.29,3.579,3.106,3.392,3.392,0
2009-11-01,3.403,3.564,3.2,3.201,3.201,0
2009-12-01,3.231,3.918,3.223,3.843,3.843,0
2010-01-01,3.859,3.859,3.576,3.609,3.609,0
2010-02-01,3.633,3.828,3.537,3.595,3.595,0
2010-03-01,3.617,3.93,3.593,3.833,3.833,0
2010-04-01,3.859,4.013,3.655,3.663,3.663,0
2010-05-01,3.695,3.713,3.098,3.301,3.301,0
2010-06-01,3.259,3.425,2.947,2.951,2.951,0
2010-07-01,2.929,3.124,2.883,2.907,2.907,0
2010-08-01,2.934,2.964,2.419,2.477,2.477,0
2010-09-01,2.491,2.827,2.449,2.517,2.517,0
2010-10-01,2.546,2.72,2.334,2.612,2.612,0
2010-11-01,2.588,2.963,2.46,2.797,2.797,0
2010-12-01,2.903,3.566,2.89,3.305,3.305,0
2011-01-01,3.377,3.497,3.255,3.378,3.378,0
2011-02-01,3.428,3.744,3.398,3.414,3.414,0
2011-03-01,3.464,3.595,3.141,3.454,3.454,0
2011-04-01,3.498,3.619,3.286,3.296,3.296,0
2011-05-01,3.312,3.312,3.041,3.05,3.05,0
2011-06-01,3.015,3.216,2.847,3.158,3.158,0
2011-07-01,3.147,3.223,2.805,2.805,2.805,0
2011-08-01,2.792,2.821,1.978,2.218,2.218,0
2011-09-01,2.202,2.278,1.696,1.924,1.924,0
2011-10-01,1.883,2.407,1.717,2.175,2.175,0
2011-11-01,2.029,2.137,1.879,2.068,2.068,0
2011-12-01,2.128,2.156,1.801,1.871,1.871,0
2012-01-01,1.951,2.094,1.797,1.799,1.799,0
2012-02-01,1.807,2.08,1.8,1.977,1.977,0
2012-03-01,2.033,2.397,1.931,2.216,2.216,0
2012-04-01,2.2,2.284,1.907,1.915,1.915,0
2012-05-01,1.919,1.961,1.533,1.581,1.581,0
2012-06-01,1.521,1.686,1.44,1.659,1.659,0
2012-07-01,1.643,1.643,1.394,1.492,1.492,0
2012-08-01,1.492,1.863,1.449,1.562,1.562,0
