name,ttm,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96
"	EffectOfExchangeRateChanges",-1093000000.00,-1093000000.00,-364000000.00,618000000.00,70000000.00,-351000000.00,713000000.00,-212000000.00,-374000000.00,-310000000.00,-86000000.00,-29000000.00,1000000.00,17000000.00,-1000000.00,-70000000.00,20000000.00,40000000.00,-52000000.00,48690000.00,67332000.00,38471000.00,-15958000.00,-37557000.00,489000.00,-35000.00,,
"	BeginningCashPosition",36477000000.00,36477000000.00,42377000000.00,36410000000.00,32173000000.00,21856000000.00,19334000000.00,15890000000.00,14557000000.00,8658000000.00,8084000000.00,5269000000.00,3777000000.00,3444000000.00,2769000000.00,2539000000.00,1022000000.00,1013000000.00,1303000000.00,1102273000.00,738254000.00,540282000.00,822435000.00,133309000.00,25561000.00,1876000.00,6200000.00,1000000.00
"	OtherCashAdjustmentOutsideChangeinCash",,,,,,,,,,,,,,,,,,,,,,,,,,,-109700000.00,-6300000.00
IncomeTaxPaidSupplementalData,6035000000.00,6035000000.00,3688000000.00,1713000000.00,881000000.00,1184000000.00,957000000.00,412000000.00,273000000.00,177000000.00,169000000.00,112000000.00,33000000.00,75000000.00,48000000.00,53000000.00,24000000.00,15000000.00,12000000.00,,1825000.00,,,,,,,
InterestPaidSupplementalData,2142000000.00,2142000000.00,1772000000.00,1630000000.00,1561000000.00,1429000000.00,647000000.00,496000000.00,478000000.00,91000000.00,97000000.00,31000000.00,14000000.00,11000000.00,32000000.00,64000000.00,67000000.00,86000000.00,105000000.00,,119947000.00,111589000.00,112184000.00,92253000.00,,,,
CapitalExpenditure,-63645000000.00,-63645000000.00,-61053000000.00,-40140000000.00,-16861000000.00,-13427000000.00,-11955000000.00,-6737000000.00,-4589000000.00,-4893000000.00,-3444000000.00,-3785000000.00,-1811000000.00,-979000000.00,-373000000.00,-333000000.00,-224000000.00,-216000000.00,-204000000.00,-89133000.00,-45963000.00,-39163000.00,-50321000.00,-134758000.00,-287055000.00,-28333000.00,-7200000.00,-1200000.00
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,66000000.00,60109000.00,0.00,0.00,99831000.00,44697000.00,64469000.00,8383000.00,49800000.00,8200000.00
IssuanceOfDebt,62719000000.00,62719000000.00,26959000000.00,17321000000.00,2273000000.00,768000000.00,16231000000.00,621000000.00,353000000.00,6359000000.00,394000000.00,3378000000.00,177000000.00,143000000.00,87000000.00,87000000.00,24000000.00,98000000.00,11000000.00,,0.00,0.00,10000000.00,681499000.00,1263639000.00,325987000.00,,
RepaymentOfDebt,-47001000000.00,-47001000000.00,-20668000000.00,-18425000000.00,-12339000000.00,-8454000000.00,-6371000000.00,-4361000000.00,-4235000000.00,-1933000000.00,-1011000000.00,-588000000.00,-444000000.00,-221000000.00,-472000000.00,-355000000.00,-74000000.00,-383000000.00,-270000000.00,-157401000.00,-495308000.00,-14795000.00,-19575000.00,-16927000.00,-188886000.00,-78108000.00,,
RepurchaseOfCapitalStock,-6000000000.00,-6000000000.00,,,,,,,,0.00,0.00,-960000000.00,-277000000.00,0.00,0.00,-100000000.00,-248000000.00,-252000000.00,,,,,,,,,,
FreeCashFlow,-16893000000.00,-16893000000.00,-14726000000.00,25924000000.00,21653000000.00,17296000000.00,6479000000.00,9706000000.00,7331000000.00,1949000000.00,2031000000.00,395000000.00,2092000000.00,2516000000.00,2920000000.00,1364000000.00,1181000000.00,486000000.00,529000000.00,477427000.00,346059000.00,135128000.00,-170103000.00,-265200000.00,-377930000.00,2702000.00,-3700000.00,-2900000.00
